LSR_GOODS_CD,LSR_GOODS_NM
36006,[서울 관악] 폴댄스 초보반강습이용권
36007,[서울 강남] 인스타 감성 터지는 꽃다발 만들기
36008,[서울 양천] 우리를 찾는 사진관
36009,[서울 동작] 우리나라 전통현악기 가야금 배우기
36010,[서울 홍대입구] 샹그리아와 뱅쇼 만들기
36012,"[서울 마포] 꽃보다 예쁜 너, 플라워 클래스"
36013,[서울 송파] 펜싱 나도 할래
36014,[서울 마포] 물고기 도자기 접시만들기
36015,[서울 성북] 발레 레슨 for 비기너
36016,[서울 송파] 술술 놀면서 수제 맥주 만들기
36018,[서울 신촌] 프리미엄 자몽청 만들기
36019,[경기 수원] 취향 저격 캔들 클래스
36020,[서울 중구] 감성 필름사진 암실 클래스
36021,[경기 성남] 핸드페인팅 도자기 만들기
36023,[서울 용산] 직접 만드는 가죽 여권케이스
36024,[서울 용산] 가죽공예 핸드메이드 나뭇잎북마크
36025,[서울 광진] LIFEWORK 청년 워크숍
36027,[서울 서초] 주말 왕초보 방송 댄스반
36033,[경기 부천] 아인스워터월드+아인스월드+골드러시 뷔페
36034,[전남 여수] 디오션 워터파크 이용권 : 핫시즌Ⅰ
36039,[전남 여수] 디오션 워터파크 이용권 : 핫시즌Ⅱ(7/27~8/5)
36041,[경기 부천] 아인스월드 + 골드러시 뷔페
36045,[충남 아산] 파라다이스 스파 도고 성수기 입장권
36048,[강원 평창] 대관령 삼양목장
36049,[충남 천안] 상록 아쿠아피아 종일/오후권 : 하이시즌(7/28~8/5)
36051,[충북 제천] 제천 짚트랙 + 산악체험
36052,[충남 천안] 상록아쿠아피아 종일권 미들시즌
36053,[강원 춘천] 루비코니 집라인
36056,[전북 전주] 얼티밋 뮤직 페스티벌 JUMF
36057,[강원 홍천] 오션월드 종일권 + 구명조끼 무료 : ★핫딜특가
36062,[경기 가평] 텐클럽수상레저
36063,[서울 구로] 낚시구역 낚시카페
36067,[서울 여의도] 다타텐트
36068,[전남 화순] 금호리조트 아쿠아나 골드시즌
36069,[강원 원주] 간현 레일바이크
